questions,types
What is the highest number of wins of the team with a position less than 1?,1
"What is the total losses against 1412, and 10 wins, but draws less than 0?",4
What is the highest draw against 2161?,1
"What is the total number of losses against 1412, and Byes less than 2?",3
What is the lowest wins with less than 2 Byes?,2
What is the highest score with 0 wins and more than 2 Byes?,1
What is the sum of wins against the smaller score 1148?,4
How many goals ranked 6?,3
"Which Total has a Bronze larger than 12, and a Silver larger than 772, and a Country of thailand?",0
"Which Gold has a Total of 2998, and a Bronze smaller than 1191?",0
"Which Bronze has a Country of malaysia, and a Total smaller than 2644?",0
"When the venue was A and the date was 2 january 2008, what was the average attendance?",0
"On 1 september 2007, at the Venue A, what was the average attendance?",5
What is the highest silver medals for Russia with more than 5 bronze medals?,1
What was the lowest squad with 0 goals?,2
What is the number for overall for angelo craig?,3
What is the lowest Overall for the wide receiver in a round less than 2?,2
"What is Average Height, when Weight is less than 93, when Spike is less than 336, and when Block is 305?",5
"What is the total number of Block(s), when Spike is less than 341, when Weight is greater than 82, and when Name is Theodoros Baev?",3
What is the highest place for song that was draw number 6?,1
"How many points on average had a position smaller than 8, 16 plays, and a lost larger than 9?",5
"What's the highest Total when Women's Wheelchair was 2, Men's Wheelchair was smaller than 1, and Women's race was larger than 0?",1
What's the average men's wheelchair when women's wheelchair is less than 0?,5
"When the Country is Mexico, Women's race is less than 0, and Men's race is more than 0, what's the average total?",5
"What's the sum of Men's race when Women's race is less than 1, Women's Wheelchair is 1, Men's wheelchair is more than 3 and the Total is more than 3?",4
"What's the average Women's Wheelchair when Men's race is 0, Women's race is 1, and Men's wheelchair is less than 2?",5
What was the lowest Attendance when the Opponent was Maryland?,2
"Can you tell me the lowest Chapter that has the Pinyin of dehua, and the Articles smaller than 16?",2
Can you tell me the average Chapter that has Articles smaller than 15?,5
"What are the least amount of points that have points for greater than 438, and points against greater than 943?",2
"What are the highest losses that have points agaisnt less than 956, high park demons as the club, and points less than 16?",1
"How many losses have points against greater than 592, with high park demons as the club, and points for greater than 631?",3
What's the smallest track written by dennis linde that's 2:50 minutes long,2
What is the sum of the wards/branches in Arkansas of the North Little Rock Arkansas stake?,4
What is the average year for Team Oreca?,5
"Which Position has an Against larger than 17, and a Team of juventus, and a Drawn smaller than 4?",2
Which Lost has an Against of 49 and a Played smaller than 20?,3
"Which week had the highest attendance with 58,701?",1
What was the score of the game against the San Diego Chargers?,0
"What week had 58,025 in attendance?",0
What is the lowest number of Drawn games for Team Mackenzie where the Played is less and 11 and the Points are greater than 7?,2
What number of Points are shown for Team Paulistano where the Drawn is less than 2 and the Against is less than 15?,3
What is the Lowest lost for Team Ypiranga-SP where the games Played is more than 10 and the goals Against is greater than 50?,2
What is the highest number of Played games with a Position smaller than 2 and Drawn games less than 4?,1
"What is the average number of runner-up that National University, which has more than 2 total championships, has?",5
What is the lowest number of total championships of the university with 2 men's and more than 2 women's?,2
"What is the average total championships of the university with more than 0 women's, less than 4 runner-ups, and less than 0 men's?",5
"What is the lowest number of total championships of the University of Santo Tomas, which has less than 2 men's?",2
What is the lowest grid number when Colin Edwards is the rider?,2
What is the average number of laps when the grid number is 9?,5
What is the highest number of laps when honda is the manufacturer and the grid number is 12?,1
How many laps were driven when the time/retired is +44.284?,3
"Can you tell me lowest Rank that has the Capacity in use of 93.6%, and the Total Passengers larger than 4,679,457?",2
"Can you tell me the lowest Total Passengers than has the Location of salvador, and the Rank larger than 5?",2
What is the average number of cuts made when there were more than 2 tournaments played in 2011?,5
What is the total number of wins with 10 cuts made and a score average under 74.09?,3
What's the highest attendance for a game the Texan's played at Arrowhead Stadium?,1
What is the lowest number of delegates when John McCain was the candidate with less than 45 candidates?,2
"What is the sum of Counties when there were 701,761 votes and less than 57 delegates?",4
What is the highest Counties when Mitt Romney was the candidate with less than 0 delegates?,1
What is the number of votes when Ron Paul is the candidate with less than 0 counties?,3
What is the sum of totals associated with a UEFA Cup score of 4?,4
What is the sum of totals for FA Cup values of 0?,4
"What is the average Weight of the person who is 6'9""?",5
"What is the highest prev that has 9 as the rank, with a rating less than 2746?",1
"How many blocks have a weight greater than 82, and a height less than 199?",4
"What is the lowest block that has 328 as the spike, and a height less than 186?",2
"What is the lowest block that has a height less than 202, 19.06.1980 as the date of birth, and a weight greater than 76?",2
"What is the highest block that has 15.09.1981 as the date, and a height greater than 202?",1
"What is the highest Matches, when Prize Money is £5,000?",1
"What is the average Matches, when Round is Third Qualifying Round?",5
"What is the total number of Matches, when Clubs is 588 → 406?",3
"What is the lowest Since, when Notes is To Anagennisi Karditsa, and when App(L/C/E) is 0 (0/0/0)?",2
What are the lowest laps Alex Tagliani did for the Forsythe Racing team?,2
"Which Cultural and Educational Panel has a Labour Panel larger than 5, and an Industrial and Commercial Panel larger than 9?",0
Which Administrative Panel has a Nominated by the Taoiseach smaller than 0?,0
"Which Labour Panel has an Industrial and Commercial Panel of 9, and a University of Dublin smaller than 3?",0
"Which Total has a Labour Panel smaller than 5, an Administrative Panel smaller than 1, and a National University of Ireland smaller than 2?",0
"Which Agricultural Panel has a Nominated by the Taoiseach larger than 6, and a Total larger than 60?",0
What is the points sum of the series with less than 0 poles?,4
"What is the sum of the races in the 2007 season, which has more than 4 podiums?",4
"What is the sum of the poles of Team la filière, which has less than 162 points?",4
"What is the average number of points in the 2012 season, which has less than 1 wins and less than 0 podiums?",5
"What is the sum of the Cultural and Educational Panels that have an Administrative Panel greater than 1, an Agricultural Panel of 11 and a University of Dublin smaller than 3?",4
What is the sum of Agricultural panels that have an Industrial and Commercial Panel smaller than 0?,4
"What is the lowest number of National University of Ireland that has a Cultural and Educational Panel of 0, and a Labour Panel smaller than 1?",2
"What is the total of Industrial and Commercial Panels that have a Labour Panel greater than 1, a Nominated by the Taoiseach lesss than 11 and a Cultural and Educational Panel smaller than 0",3
